State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source,Location
Mississippi,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,CHIP only,Administrative,11.8,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.7673, -89.6812)"
Indiana,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,77.1,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(39.8647, -86.2604)"
Ohio,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,72.6,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(40.3736, -82.7755)"
Iowa,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid only,Administrative,93.1,44,90.0,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,92.2,44,90.0,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.314, -74.5089)"
Missouri,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid & CHIP,Administrative,42.1,33,45.7,32.7,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(38.4623, -92.302)"
Tennessee,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,CHIP only,Hybrid,67.7,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.7449, -86.7489)"
Arkansas,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid & CHIP,Administrative,42.4,33,45.7,32.7,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.9513, -92.3809)"
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & CHIP,Administrative,60.8,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.9866, -83.6487)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,CHIP only,Administrative,56.9,37,48.0,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Delaware,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & Dual Eligibles,Hybrid,75.9,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.3498, -75.5148)"
Montana,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,CHIP only,Administrative,29.1,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(46.9048, -110.3261)"
South Dakota,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,39.4,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(44.2853, -99.4632)"
Oklahoma,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid & CHIP,Administrative,37.6,33,24.3,22.1,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.5376, -96.9247)"
New Mexico,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative & Hybrid,55.5,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.8375, -106.2371)"
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid,Administrative,8.3,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.6411, -79.8431)"
Iowa,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2015,CHIP only,NR,,29,64.4,57.0,71.0,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid only,Administrative,,16,27.9,22.6,36.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.7449, -86.7489)"
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,89.6,44,90.0,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.9513, -92.3809)"
Connecticut,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid & CHIP,Administrative,37.3,32,24.1,21.3,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.5834, -72.7622)"
Georgia,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2015,Medicaid & CHIP,Hybrid,55.6,29,64.4,57.0,71.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.9866, -83.6487)"
South Carolina,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid,Administrative,68.7,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(33.8191, -80.9066)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,CHIP only,Administrative,95.2,45,95.2,93.2,97.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(38.4199, -117.1219)"
Alaska,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,44.7,41,47.6,43.0,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(61.385, -152.2683)"
Kentucky,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid & CHIP,Administrative,30.9,33,45.7,32.7,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(37.669, -84.6514)"
Minnesota,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & Dual Eligibles,Administrative,34.7,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(45.7326, -93.9196)"
Oregon,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,48.1,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(44.5672, -122.1269)"
Colorado,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,Medicaid & CHIP,Administrative,92.9,45,95.2,93.2,97.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.0646, -105.3272)"
Kentucky,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid & Dual Eligibles,Administrative,63.1,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(37.669, -84.6514)"
Maryland,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid & CHIP,Administrative,92.0,45,88.0,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.0724, -76.7902)"
Nebraska,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid & Dual Eligibles,Administrative,39.9,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.1289, -98.2883)"
Massachusetts,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,58.4,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(42.2373, -71.5314)"
North Carolina,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid,Administrative,24.9,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.6411, -79.8431)"
Iowa,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid only,Administrative,37.8,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Texas,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,CHIP only,Administrative,22.7,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
Maine,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,91.4,44,90.0,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.6074, -69.3977)"
Texas,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid,Administrative,60.1,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
Kansas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid & CHIP,Administrative,26.0,33,24.3,22.1,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(38.5111, -96.8005)"
Maine,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,43.7,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.6074, -69.3977)"
Iowa,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2015,Medicaid only,Administrative,7.2,25,8.9,8.1,10.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Pennsylvania,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,77.2,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(40.5773, -77.264)"
New Mexico,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid & CHIP,Hybrid,73.0,37,82.0,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.8375, -106.2371)"
Pennsylvania,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,71.7,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.5773, -77.264)"
Louisiana,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,33.5,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(31.1801, -91.8749)"
Massachusetts,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,46.7,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.2373, -71.5314)"
New York,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid,Administrative,87.2,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.1497, -74.9384)"
New Jersey,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & CHIP,Hybrid,76.6,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.314, -74.5089)"
Oklahoma,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,Medicaid & CHIP,Administrative,65.3,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.5376, -96.9247)"
Kentucky,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & Dual Eligibles,Administrative,90.6,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(37.669, -84.6514)"
Connecticut,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & CHIP,Administrative,86.7,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.5834, -72.7622)"
Massachusetts,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2015,Medicaid & CHIP,Hybrid,73.2,29,64.4,57.0,71.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.2373, -71.5314)"
Arkansas,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,59.2,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.9513, -92.3809)"
Texas,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid only,Administrative,48.7,37,48.0,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
Louisiana,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Administrative,46.8,45,60.1,49.2,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.1801, -91.8749)"
Mississippi,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,CHIP only,Hybrid,44.4,45,60.1,49.2,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.7673, -89.6812)"
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,46.2,41,47.6,43.0,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(33.8191, -80.9066)"
Illinois,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid & CHIP,Administrative,52.8,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.3363, -89.0022)"
Ohio,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid & CHIP,Administrative,50.2,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.3736, -82.7755)"
Maryland,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & CHIP,Administrative,21.3,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.0724, -76.7902)"
Rhode Island,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & CHIP,Administrative,67.9,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.6772, -71.5101)"
New Mexico,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,41.5,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.8375, -106.2371)"
North Carolina,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid only,Administrative,68.2,37,82.0,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.6411, -79.8431)"
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid & CHIP,Hybrid,59.2,33,53.0,21.0,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.314, -74.5089)"
Massachusetts,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid & CHIP,Administrative,21.4,32,24.1,21.3,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.2373, -71.5314)"
Iowa,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,CHIP only,Hybrid,66.2,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Oklahoma,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & Dual Eligibles,Administrative,62.3,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.5376, -96.9247)"
Rhode Island,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & CHIP,Administrative,37.2,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.6772, -71.5101)"
Texas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,CHIP only,Administrative,22.0,33,25.0,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
South Carolina,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,36.3,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(33.8191, -80.9066)"
Michigan,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2015,Medicaid only,Hybrid,63.4,29,64.4,57.0,71.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(43.3504, -84.5603)"
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,CHIP only,Administrative,95.9,45,95.2,93.2,97.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.7449, -86.7489)"
Rhode Island,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,51.8,37,48.0,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.6772, -71.5101)"
Pennsylvania,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid only,Administrative,33.9,33,24.3,22.1,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.5773, -77.264)"
Ohio,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative & Hybrid,41.0,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.3736, -82.7755)"
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & CHIP,Hybrid,84.7,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.0724, -76.7902)"
Pennsylvania,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid & CHIP,Hybrid,82.5,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.5773, -77.264)"
New York,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,64.9,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.1497, -74.9384)"
New York,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,Medicaid & CHIP,Administrative,39.2,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.1497, -74.9384)"
Iowa,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,42.1,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(42.0046, -93.214)"
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,63.7,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.314, -74.5089)"
