Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"Environmental Conservation, Department of",09E599EA,Environmental Protection and Enhancements,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/99,Environmental Prot And Enhancements,3045000,0,0
"Environmental Conservation, Department of",09E602EA,Environmental Protection and Enhancements,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/02,Epf Supplemental - Parks,2109000,123575,0
"Environmental Conservation, Department of",09E603ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/03,EPF - Land Acquisition,989000,0,0
"Environmental Conservation, Department of",09E604ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0104/10/04,EPF - Open Space,711000,60464,0
"Environmental Conservation, Department of",09E605ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0062/01/05,EPF - Land Acquisition & Open Space,8060000,2330650,0
"Environmental Conservation, Department of",09E606ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0108/05/06,EPF - Land Acquisition,17681000,12583678,0
"Environmental Conservation, Department of",09E699EA,Environmental Protection and Enhancements,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/99,Environmental Prot And Enhancements,10861000,749687,0
"Environmental Conservation, Department of",09E702EA,Environmental Protection and Enhancements,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,452L/CL/,Epf Supplemental - Open Space,1304000,55233,0
"Environmental Conservation, Department of",09ED0750,Administration,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/07,Education Camps and Centers Improvement,22000,0,0
"Environmental Conservation, Department of",09ED0950,Administration,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/09,Education Camps and Centers Improvement,38000,0,0
"Environmental Conservation, Department of",09ED1050,Administration,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/10,Education Camps and Centers Improvement,600000,0,0
"Environmental Conservation, Department of",09ED1150,Administration,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/11,Education Camps and Centers Improvement,500000,0,0
"Environmental Conservation, Department of",09ED1250,Administration,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/12,Education Camps and Centers Improvement,300000,0,0
"Environmental Conservation, Department of",09ED1350,Administration,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/13,Education Camps and Centers Improvement,1000000,0,0
"Environmental Conservation, Department of",09EJ15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Environmental Justice Grants,0,0,1100000
"Environmental Conservation, Department of",09EQ0851,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/08,Equipment Large/Small,506000,363,0
"Environmental Conservation, Department of",09EQ0951,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/09,Equipment Large/Small,1291000,49601,0
"Environmental Conservation, Department of",09EQ1051,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/10,Equipment Large/Small,750000,321556,0
"Environmental Conservation, Department of",09EQ1151,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Equipment Large/Small,750000,473336,0
"Environmental Conservation, Department of",09EQ1251,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Equipment Large/Small,500000,451374,0
"Environmental Conservation, Department of",09EQ1451,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Heavy Duty Equipment & Vehicles,2000000,514914,0
"Environmental Conservation, Department of",09EQ1551,Operations,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Equipment,0,0,2750000
"Environmental Conservation, Department of",09EX0356,Solid Waste Management,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/03,Adirondack Landfills,1000,0,0
"Environmental Conservation, Department of",09EX0556,Solid Waste Management,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/05,Essex County,205000,17151,0
"Environmental Conservation, Department of",09EX0656,Solid Waste Management,Energy Conservation,Capital Projects Fund,Capital Projects Fund,0055/01/06,Essex County,495000,143085,0
"Environmental Conservation, Department of",09EX0756,Solid Waste Management,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/07,Essex County,400000,0,0
"Environmental Conservation, Department of",09FA0354,Fish and Wildlife,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/03,Fishing Access,409000,0,0
"Environmental Conservation, Department of",09FC0163,Water Resources,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/01,Flood Control - Federal Proj,166000,0,0
"Environmental Conservation, Department of",09FC0263,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/02,Flood Control - Fed Projects,580000,0,0
"Environmental Conservation, Department of",09FC0363,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/03,Flood Control - Fed Projects,2743000,0,0
"Environmental Conservation, Department of",09FD0763,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/07,Flood Control - Dam Safety,280000,0,0
"Environmental Conservation, Department of",09FL0553,Lands and Forests,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/05,Federal - Forest Legacy Land Acq.,324000,0,0
"Environmental Conservation, Department of",09FL0653,Lands and Forests,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/06,Federal - Forest Legacy Land Acq.,15000,0,0
"Environmental Conservation, Department of",09FL0753,Lands and Forests,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/07,Federal - Forest Legacy Land Acq.,505000,17106,0
"Environmental Conservation, Department of",09FL0853,Lands and Forests,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/08,Federal - Forest Legacy Land Acq.,1016000,0,0
"Environmental Conservation, Department of",09FL0963,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/09,Flood Control,605000,0,0
"Environmental Conservation, Department of",09FL1063,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/10,Flood Control,1000000,0,0
"Environmental Conservation, Department of",09FL1153,Lands and Forests,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0054/01/11,Federal - Forest Legacy Land Acq,3200000,0,0
"Environmental Conservation, Department of",09FL1163,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/11,Flood Control,1000000,0,0
"Environmental Conservation, Department of",09FL1263,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/12,Flood Control,3445000,12180,0
"Environmental Conservation, Department of",09FL12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Finger Lakes/Lake Ontario Watershed PA,56000,0,0
"Environmental Conservation, Department of",09FL1353,Lands and Forests,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0054/01/13,Federal - Forest Legacy Land Acq,1900000,0,0
"Environmental Conservation, Department of",09FL1363,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/13,Flood Control,500000,0,0
"Environmental Conservation, Department of",09FL13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Finger Lakes/Lake Ontario Watershed PA,1300000,490882,0
"Environmental Conservation, Department of",09FL1463,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/14,Flood Protection Projects,1000000,0,0
"Environmental Conservation, Department of",09FL14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,finger lakes/lake ontario watershed pa,1500000,1500000,0
"Environmental Conservation, Department of",09FL1563,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0000/00/15,Flood Control,0,0,2750000
"Environmental Conservation, Department of",09FL15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Finger Lakes Lake Ontario Watershed,0,0,1750000
"Environmental Conservation, Department of",09FP0663,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/06,Flood Plain Mapping,145000,0,0
"Environmental Conservation, Department of",09FP07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,County Agriculture/Farmland Protection,11791000,10126115,0
"Environmental Conservation, Department of",09FP0863,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/08,Flood Plain Mapping,100000,0,0
"Environmental Conservation, Department of",09FP08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,County Agriculture/Farmland Protection,9844000,7724054,0
"Environmental Conservation, Department of",09FP0963,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/09,Flood Plain Mapping,834000,0,0
"Environmental Conservation, Department of",09FP09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,County Agriculture/Farmland Protection,22054000,0,0
"Environmental Conservation, Department of",09FP1063,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/10,Flood Plain Mapping,834000,0,0
"Environmental Conservation, Department of",09FP10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,County Agriculture/Farmland Protection,10750000,0,0
"Environmental Conservation, Department of",09FP1163,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/11,Flood Plain Mapping,834000,0,0
"Environmental Conservation, Department of",09FP11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,County Agriculture/Farmland Protection,12000000,0,0
"Environmental Conservation, Department of",09FP12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,County Agriculture/Farmland Protection,12000000,0,0
"Environmental Conservation, Department of",09FP13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,County Agriculture/Farmland Protection,13000000,0,0
"Environmental Conservation, Department of",09FP14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,farmland protection,14000000,100000,0
"Environmental Conservation, Department of",09FP15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Farmland Protection,0,0,15000000
"Environmental Conservation, Department of",09FS04F7,Solid Waste Management,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/04,Federal - Hazardous Waste,8239000,0,0
"Environmental Conservation, Department of",09FS0957,Water Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Stimulus,0055/01/09,SRF Fed Stimulus,2436000,0,0
"Environmental Conservation, Department of",09FS99F7,Solid Waste Management,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/05,Fed Share Hazardous Waste,6138000,0,0
"Environmental Conservation, Department of",09GC1153,Lands and Forests,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Green Certification,26000,0,0
"Environmental Conservation, Department of",09GC1253,Lands and Forests,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Green Certification,100000,0,0
"Environmental Conservation, Department of",09GL07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Oceans and Great Lakes Initiative,1380000,96220,0
"Environmental Conservation, Department of",09GL08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Oceans and Great Lakes Initiative,510000,745,0
"Environmental Conservation, Department of",09GL09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Oceans and Great Lakes Initiative,3707000,1315201,0
"Environmental Conservation, Department of",09GL10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Oceans and Great Lakes Initiative,4220000,992355,0
"Environmental Conservation, Department of",09GL11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Oceans and Great Lakes Initiative,4681000,720516,0
"Environmental Conservation, Department of",09GL12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Oceans and Great Lakes Initiative,4196000,579778,0
"Environmental Conservation, Department of",09GL13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Oceans and Great Lakes Initiative,4750000,654547,0
"Environmental Conservation, Department of",09GL14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,oceans and great lakes initiative,5035000,187577,0
"Environmental Conservation, Department of",09GL15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Oceans and Great Lakes,0,0,6050000
"Environmental Conservation, Department of",09HB03F7,Solid and Hazardous Waste Management,Environmental Protection or Improvements,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0001/05/03,HWRF - Cleanup,8389000,5539392,0
"Environmental Conservation, Department of",09HB04F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0055/01/04,HWRF - Cleanup,10940000,6701723,0
"Environmental Conservation, Department of",09HB05F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0055/01/05,HWRF - Cleanup,4870000,2886700,0
"Environmental Conservation, Department of",09HB06F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0055/01/06,HWRF - Cleanup,4100000,1623065,0
"Environmental Conservation, Department of",09HB07F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0000/00/00,HWRF - Cleanup,12178000,7390994,0
"Environmental Conservation, Department of",09HB08F7,Solid and Hazardous Waste Management,Environmental Protection or Improvements,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0055/01/08,HWRF - Cleanup,49117000,33406540,0
"Environmental Conservation, Department of",09HB09F7,Solid and Hazardous Waste Management,Environmental Protection or Improvements,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0055/01/09,HWRF - Cleanup,7966000,3759284,0
"Environmental Conservation, Department of",09HB10F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0055/01/10,HWRF - Cleanup,67760000,39688312,0
"Environmental Conservation, Department of",09HB11F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,C500/11/1,HWRF - Cleanup,84312000,23266039,0
"Environmental Conservation, Department of",09HB12F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0054/01/12,HWRF - Cleanup,34266000,14296,0
"Environmental Conservation, Department of",09HB15F7,Solid and Hazardous Waste Management,Environmental Protection or Improvements,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Cleanup,0000/00/15,Superfund,0,0,100000000
"Environmental Conservation, Department of",09HC1554,Fish and Wildlife,Environmental Protection or Improvements,Miscellaeous Capital Projects Fund,Habitat Conservation and Access Capital,0000/00/15,Habitat Conservation and Access Fund,0,0,1500000
"Environmental Conservation, Department of",09IS1153,Lands and Forests,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Invasive Species,71000,0,0
"Environmental Conservation, Department of",09HD1051,Operations,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - DEC Regular (Auth Bonds),0055/01/10,GF Capital Bonding,12000000,0,0
"Environmental Conservation, Department of",09HD1151,Operations,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - DEC Regular (Auth Bonds),0054/01/11,GF Capital Bonding,12000000,0,0
"Environmental Conservation, Department of",09HD1251,Operations,Preservation of Facilities,Capital Projects Fund,Cap Proj Fund - DEC Regular (Auth Bonds),0054/01/12,GF Capital Bonding,12000000,0,0
"Environmental Conservation, Department of",09HD1351,Operations,Environmental Protection or Improvements,Capital Projects Fund,Cap Proj Fund - DEC Regular (Auth Bonds),0054/01/13,GF Capital Bonding,12000000,0,0
"Environmental Conservation, Department of",09HE0354,Fish and Wildlife,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/03,Fish Hatchery Improvements and Eq ,50000,3500,0
"Environmental Conservation, Department of",09HE0454,Fish and Wildlife,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/04,Fish Hatchery Improvements ,255000,0,0
"Environmental Conservation, Department of",09HE0554,Fish and Wildlife,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/05,Fish Hatchery Improvements,300000,0,0
"Environmental Conservation, Department of",09HE0654,Fish and Wildlife,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/06,Fish Hatchery Improvements,537000,0,0
"Environmental Conservation, Department of",09HE0754,Fish and Wildlife,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/07,Fish Hatchery Improvements,1000000,0,0
"Environmental Conservation, Department of",09HE07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Hudson River Estuary Management Plan,22000,0,0
"Environmental Conservation, Department of",09HE0854,Fish and Wildlife,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/08,Fish Hatchery Improvements,1000000,0,0
"Environmental Conservation, Department of",09HE08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Hudson River Estuary Management Plan,348000,76491,0
"Environmental Conservation, Department of",09HE0954,Fish and Wildlife,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/09,Fish Hatchery Improvements,1000000,0,0
"Environmental Conservation, Department of",09HE09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Hudson River Estuary Management Plan,707000,10000,0
"Environmental Conservation, Department of",09HE1054,Fish and Wildlife,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/10,Fish Hatchery Improvements,1000000,0,0
"Environmental Conservation, Department of",09HE10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Hudson River Estuary Management Plan,1667000,1095930,0
"Environmental Conservation, Department of",09HE1154,Fish and Wildlife,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/11,Fish Hatchery Improvements,1000000,0,0
"Environmental Conservation, Department of",09HE11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Hudson River Estuary Management Plan,2081000,192835,0
"Environmental Conservation, Department of",09HE1254,Fish and Wildlife,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/12,Fish Hatchery Improvements,500000,0,0
"Environmental Conservation, Department of",09HE12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Hudson River Estuary Management Plan,596000,0,0
"Environmental Conservation, Department of",09HE1354,Fish and Wildlife,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/13,Fish Hatchery Improvements,500000,0,0
"Environmental Conservation, Department of",09HE13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Hudson River Estuary Management Plan,2850000,669668,0
"Environmental Conservation, Department of",09HE14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,hudson river estuary management plan,3800000,737031,0
"Environmental Conservation, Department of",09HE15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Hudson River Estuary,0,0,4700000
"Environmental Conservation, Department of",09W39863,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/98,Jones Inlet,490000,0,0
"Environmental Conservation, Department of",09HR09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Hudson River Park,6000000,0,0
"Environmental Conservation, Department of",09HR10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Hudson River Park,3000000,0,0
"Environmental Conservation, Department of",09HR11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Hudson River Park,3000000,0,0
"Environmental Conservation, Department of",09HR12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Hudson River Park,3000000,0,0
"Environmental Conservation, Department of",09HR13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Hudson River Park,3000000,0,0
"Environmental Conservation, Department of",09HR14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,hudson river park trust,3000000,0,0
"Environmental Conservation, Department of",09HR15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Hudson River Park,0,0,2500000
"Environmental Conservation, Department of",09HR9454,Fish and Wildlife,Health and Safety,Miscellaeous Capital Projects Fund,Hudson River Habitat Restor. Fund,0712/03/94,Hudson River Habitat Resoration Fund,351000,0,0
"Environmental Conservation, Department of",09HT03F7,Solid and Hazardous Waste Management,Environmental Protection or Improvements,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0001/05/03,HWRF - Oversight & Assessment,8779000,554564,0
"Environmental Conservation, Department of",09HT04F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0055/01/04,HWRF - Oversight & Assessment,7962000,629849,0
"Environmental Conservation, Department of",09HT05F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0055/01/05,HWRF - Oversight & Assessment,15000000,0,0
"Environmental Conservation, Department of",09HT06F7,Solid and Hazardous Waste Management,Health and Safety,Hazardous Waste Remedial Fund,Hazardous Waste Remedial Fund - Oversight & Assessment,0055/01/06,HWRF - Oversight & Assessment,15000000,0,0
"Environmental Conservation, Department of",09HW92F7,Solid and Hazardous Waste Management - EQBA 86,Health and Safety,Capital Projects Fund,Capital Projects Fund - EQBA 86 (Bondable),0054/01/92,Remedial Activities At Various Sites,12282000,583773,0
"Environmental Conservation, Department of",09HW93F7,Solid and Hazardous Waste Management - EQBA 86,Health and Safety,Capital Projects Fund,Capital Projects Fund - EQBA 86 (Bondable),0054/01/93,Remedial Activities At Various Sites,10599000,4068745,0
"Environmental Conservation, Department of",09HW94F7,Solid and Hazardous Waste Management - EQBA 86,Health and Safety,Capital Projects Fund,Capital Projects Fund - EQBA 86 (Bondable),0054/01/94,Remedial Activities At Various Sites,11785000,5476733,0
"Environmental Conservation, Department of",09HW95F7,Solid and Hazardous Waste Management - EQBA 86,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund - EQBA 86 (Bondable),0054/01/95,Haz Waste Remediation,1642000,1065857,0
"Environmental Conservation, Department of",09HW96F7,Solid and Hazardous Waste Management - EQBA 86,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund - EQBA 86 (Bondable),0055/01/96,Remedial Activities,228000,0,0
"Environmental Conservation, Department of",09HW97F7,Solid and Hazardous Waste Management - EQBA 86,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund - EQBA 86 (Bondable),0055/01/97,Remedial Activities,501000,0,0
"Environmental Conservation, Department of",09HW99F7,Solid and Hazardous Waste Management - EQBA 86,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund - EQBA 86 (Bondable),0055/01/99,Haz Waste Remediation,579000,418833,0
"Environmental Conservation, Department of",09IS07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Invasive Species,492000,327104,0
"Environmental Conservation, Department of",09IS08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Invasive Species,2047000,1727074,0
"Environmental Conservation, Department of",09IS09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Invasive Species,3286000,1224601,0
"Environmental Conservation, Department of",09IS10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Invasive Species,2733000,2045764,0
"Environmental Conservation, Department of",09IS11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Invasive Species,3527000,1708141,0
"Environmental Conservation, Department of",09IS12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Invasive Species,3053000,2265000,0
"Environmental Conservation, Department of",09IS13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Invasive Species,4434000,138040,0
"Environmental Conservation, Department of",09IS14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,invasive species,4442000,980,0
"Environmental Conservation, Department of",09IS15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Invasive Species,0,0,5850000
"Environmental Conservation, Department of",09IT0153,Lands and Forests,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/01,State Share Of Istea,2325000,0,0
"Environmental Conservation, Department of",09IT9453,Lands and Forests,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0054/01/94,State Share Istea,297000,0,0
"Environmental Conservation, Department of",09KP06F7,Solid and Hazardous Waste Management,Environmental Protection or Improvements,Capital Projects Fund,Cap Proj Fund - DEC Regular (Auth Bonds),0054/01/06,Smithtown/Kings Park Psychiatric Center,15454000,6404088,0
"Environmental Conservation, Department of",09LA07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Land Acquisition,2028000,148525,0
"Environmental Conservation, Department of",09LA08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Land Acquisition,4766000,171047,0
"Environmental Conservation, Department of",09LA09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Land Acquisition,308000,177926,0
"Environmental Conservation, Department of",09LA10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Land Acquisition,5230000,166812,0
"Environmental Conservation, Department of",09LA11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Land Acquisition,11195000,2687301,0
